id,parent_asin,product_title,rating,title,text,helpful_vote,label,images,asin,user_id,timestamp,verified_purchase,has_product,text_length
0,B00NXZ9BNQ,,5,great product,I love this  fragrance warmer. It is beautiful and goes with my decor.,0,Real,[],B00NXYYSMQ,AFLUIUL4FUAP65MZNITQ7N6GP53A,1.60995E+12,TRUE,TRUE,70
1,B079GVJ6L1,,5,Best tree base ever,Best tree base ever,0,Real,[],B000KKQDV0,AF2HI7SMETC7ZHMU5MNM5V3ZJ6ZQ,1.6076E+12,TRUE,TRUE,19
2,B011MYS97I,,3,Beautiful Flowers,The number of flowers in the bundle is not enough for the money! I was expecting more!,0,Real,[],B011MYS97I,AFAP2L3PBTGE5KDLML3Y3IQWYT2Q,1.64694E+12,TRUE,TRUE,86
3,B0B1B59BGG,Ultra Soft Blanket for Adults Kid 60x50 Inch Throw Blanket Lightweight and Luxury for Bed Couch Sofa Fuzzy Warm Cozy Microfiber Flannel Blanket,4,Super soft and cozy!,"This blanket is SO soft and perfect for snuggling on the couch or adding a light layer to the bed. It’s lightweight but still warm, which I love. Only wish it was a tad bigger for sharing during movie nights!",3,Machine Generated,,,,,,,
4,B077RSQLSW,"ZINUS Trisha Metal Platforma Bed Frame / Wood Slat Support / No Box Spring Needed / Easy Assembly, Queen",2,Not as sturdy as expected,"The frame looks nice, but it squeaks A LOT after just a few weeks of use. Also, the slats don’t stay in place well, which makes the mattress feel unstable. Assembly was easy, though.",3,Machine Generated,,,,,,,
5,B09KHP8GZG,Cypress Home Botanica Ceramic Coffee Travel Cup With Gift Box 17 oz,2,Pretty but not practical,"The design is gorgeous, and the gift box is nice, but the cup is heavier than expected and doesn’t keep drinks hot for long. Also, the lid doesn’t seal tightly, so I had a spill. Disappointed overall.",3,Machine Generated,,,,,,,
6,B0BZ5N3LZL,"Maytex Shower Curtain Hooks, Shower Curtain Rings, Rust-Resistant Decorative Double Roller Glide Shower Hooks, Shower Rings for Bathroom Shower Rods, Curtains, Liners, Set of 12, Oil Rubbed Bronze",1,Rust-resistant? Not at all.,"These started rusting after just a couple of weeks in my bathroom. The 'oil-rubbed bronze' looked nice at first, but now they’re an eyesore. Definitely NOT rust-resistant as advertised. Really disappointed.",4,Machine Generated,,,,,,,
7,B07HNVF2PJ,,4,Beautiful but uneven,"I like that these are darkening but not blackout. They are thick enough to feel like you have privacy but not so dark as to make the room pitch black. But I was really disappointed to see that the two panels were visibly different lengths. Luckily I needed two sets, so I paired the shorter ones on one window and the longer ones on another. But it happened in both packages, so there’s a definite quality control issue. Other than that, I’m very happy with them.",0,Real,"[{'attachment_type': 'IMAGE', 'large_image_url': 'https://m.media-amazon.com/images/I/A1wJa27P7YL._SL1600_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/A1wJa27P7YL._SL800_.jpg', 'small_image_url': 'https://m.media-amazon.com/images/I/A1wJa27P7YL._SL256_.jpg'}]",B081RQ3D8J,AGFLRPJ6ZVLJFXIFZ5URUNYW7MWA,1.63148E+12,TRUE,TRUE,463
8,B003R28HWQ,"Breville Juice Fountain Plus Juicer, Brushed Stainless Steel, JE98XL",4,Powerful juicer but a bit loud,"The Breville Juice Fountain Plus makes smooth, fresh juice FAST, even with tougher veggies like carrots. Cleanup isn’t bad, but it’s a bit noisy when running. Overall, great for morning juice lovers who don’t mind the sound!",7,Machine Generated,,,,,,,
9,B0BBL8LDML,TOPIA Artificial Dandelion Flowers Lovely Faux Dandelion Flowers for Home Decoration (4 Pcs) (White),1,Cheap and falls apart easily,"These looked nice in the photos, but the quality is terrible. The dandelion heads kept falling off, and the stems are flimsy. They don’t look realistic at all, more like plastic toys. TOTAL waste of money.",3,Machine Generated,,,,,,,
10,B09NRMBD49,"KIPBELIF Insulated Lunch Bags for Women - Large Tote Adult Lunch Box for Women with Shoulder Strap, Side Pockets and Water Bottle Holder, Aqua Green, Extra Large Size",4,Spacious and stylish lunch bag,"This bag is HUGE—fits my lunch, snacks, and even a couple of drinks easily. Love the aqua green color and the water bottle holder. The shoulder strap is handy, but I wish the insulation lasted a bit longer on hot days.",6,Machine Generated,,,,,,,
11,B07BKW53BM,"ICYANG Universal Oval Black Plastic Sofa Chair Recliner Release Pull Handle, Exposed Cable Length 4.75"", Total Length is Medium at 31"", fits Ashley and Major Recliner Brands Sofa",3,"Decent, but not perfect fit","The handle works, but it didn’t fit my recliner as seamlessly as I’d hoped. The cable length was a bit tricky to adjust. It’s okay for a temporary fix, but not super durable.",4,Machine Generated,,,,,,,
12,B07XV7T6MK,,1,"Quit after 2 months, don't waste your money.","I was hopeful after reading many reviews. Bought this in Aug 2017. It worked wonderfully for about 2 months. Now it will only open about 1cm, then quit rotating. I have changed batteries, tried to hep it along, and repositioned it. Terrible product.Total waste of �20. Amazon should take this out of their inventory.",0,Real,[],B01E8O3KVE,AHS6VXBZYJNQU6LMTKHKKS4JR5PA,1.51317E+12,TRUE,TRUE,316
13,B0BX72BZV2,"ULTRA HIGH SPEED MILK FROTHER For Coffee With UPGRADED STAND - Multi-Use Powerful, Compact Handheld Mixer - Super Instant Electric Foam Maker with Stainless Steel Whisk by Zulay (Metallic Ice Blue)",1,Disappointed with performance,"Not impressed at all. The frother feels flimsy, and the motor isn’t as “powerful” as advertised. It struggled with basic frothing, and the stand feels cheaply made. Expected way more for the price. NOT worth it.",3,Machine Generated,,,,,,,
14,B07WVT8H9C,,4,Great dishes. Meh tops,"The purchase experience was excellent, and the containers are indeed large. No complaints there. The tops, however are a bit finicky. It can take a few tries to get them to close, and there's no good way to offset then as an easy drain when reheating. Overall satisfied, but I wish the tops could've been a bit better thought through design-wise.",0,Real,[],B07WVT8H9C,AE6QXK45ORIDDSAAJWD536FLNC5Q,1.62E+12,TRUE,TRUE,346
15,B0C6VCTLT4,simplehuman Odorsorb Pod All-Natural Odor-Absorbing System Starter Pack,4,Does the job well!,"This little pod really helps keep funky smells under control in my kitchen trash can. Super easy to set up, and I love that it’s all-natural! Just wish the refills lasted a bit longer, but overall, super handy.",7,Machine Generated,,,,,,,
16,B09H9HN84J,,5,Easy assembling,"Easy to assemble, great material, and fits perfect for kids bedrooms",0,Real,[],B01HP2VIMO,AHEVEPIJ3BGM3B2AKHOQGURIJLDA,1.53032E+12,TRUE,TRUE,68
17,B07JNJBB9P,,5,Rachel Ray Utensils are the Best!,These are my third set of Rachel Ray Utensils. I first ordered the Lazy Spoons and loved them. These spatulas are my new favorites. Easy to clean and keep my new pans from scratching.,0,Real,[],B000YDTTZA,AHXZ2VBCLL2GX2AOAJPJTZGK2GLQ,1.58352E+12,TRUE,TRUE,183
18,B0BYRM8PXH,"eufy by Anker, BoostIQ RoboVac 11S (Slim), Robot Vacuum Cleaner, Super-Thin, 1300Pa Strong Suction, Quiet, Self-Charging Robotic Vacuum Cleaner, Cleans Hard Floors to Medium-Pile Carpets",1,Disappointed with its performance,"I had high hopes, but this vacuum constantly gets stuck on rugs and misses spots on hard floors. The suction isn’t strong enough for pet hair, and it doesn’t seem very smart about navigating. Feels more frustrating than helpful.",3,Machine Generated,,,,,,,
19,B09RHTJBR5,"Ozeri Pronto Digital Multifunction Kitchen and Food Scale, Black on White",1,Stopped working almost immediately,"The scale worked fine for a week, but then it started giving inconsistent readings and eventually stopped turning on altogether. I changed the batteries TWICE, but no luck. Pretty disappointing for something that seemed reliable at first.",3,Machine Generated,,,,,,,
20,B07CZRY95H,,5,ABSOLUTELY DELIGHTED WITH THESE,"FIRST..THE BLUE IS TRUE TO THE COLOR IN THE PIC. SECOND...THIS IS NO FLIMSY PRODUCT. IT IS SUBSTANTIAL, WITH WEIGHT AND HEFT TO IT...MORE THAN YOU WOULD EXPECT BY LOOKING AT IT. THE BOTTOM PORTIONS OF EACH BOOKEND HAS A ""WEIGHTED"" FEEL TO IT. I PLACED THREE OVERSIZED BOOKS AGAINST ONE BOOKEND AND IT HELD UP PERFECTLY; THERE IS SOME SORT OF SLIP-PREVENTING PADDING ON THE UNDERSIDES AND IT LOOKS TO BE LONG-LASTING. THIRD..THE SET ONLY COST $9.90. PERFECT!<br />WHEN I'M READY TO TREAT MYSELF TO A NEW TRIPLE LETTER TRAY, I SHALL BUY IT FROM ACRIMET....WHICH NOW HAS A CUSTOMER FOR LIFE.",0,Real,[],B07CZRY95H,AHZCYOD5Z5KOCLUEWPRCQW2XAO3Q,1.56133E+12,TRUE,TRUE,588
21,B08D4QDPNW,,5,I have been unable to find a tub stopper for ...,I have been unable to find a tub stopper for years. This one works! Now my grandchildren can take a bubble bath without having to have the water leak out.,0,Real,[],B0038JE650,AGP3T6O5DO7M5IQXAFLB7WQTIUWA,1.41789E+12,TRUE,TRUE,154
22,B0C5DH7MX1,"Furinno Turn-N-Tube 4-Tier Multipurpose Shelf Display Rack, Round Tubes, Walnut/Brown",2,Looks nice but feels flimsy,"It was easy to put together, but the shelves feel pretty unsteady, especially if you try to put anything heavier than books on it. The material looks decent from a distance, but up close, it feels cheap. Not great for long-term use.",3,Machine Generated,,,,,,,
23,B08RYX4BJ4,"Balloon Decorating Tape Strip for Ballon Arch Garland Kit 2 Rolls 32.8 Feet, 400 Pcs Glue Dots Point Stickers for Wedding Birthday Party (Double Holes)",4,"Great for balloon arches, but a bit tricky","The tape strip worked really well for my balloon arch, and the glue dots held everything in place. Just a heads-up, threading balloons through the double holes takes some patience, but once done, it looks AMAZING!",6,Machine Generated,,,,,,,
24,B0BQ6VV812,,5,Niece's 50th,My niece absolutely loved this.,0,Real,[],B0B9189MWW,AG6WMIPTV2FGMWSSGKUAVLTXGKOA,1.67327E+12,TRUE,TRUE,31
25,B00S87JHDS,"Kurt Adler Coca-Cola Santa with Delivery Cart, 10.5-Inch, Set of 2",1,Disappointing Quality for the Price,"The Santas look great in pictures, but in person, the paint job is sloppy, and the materials feel really cheap. One even arrived with a broken piece on the cart. NOT worth the money at all.",4,Machine Generated,,,,,,,
26,B07H9NKLJZ,"Sweese 221.101 Teapot, Porcelain Tea Pot with Stainless Steel Infuser, Blooming & Loose Leaf Teapot - 27 ounce, White",2,"Looks nice, but has flaws","While the teapot is visually appealing and the size is great, the stainless steel infuser doesn't sit securely inside, which makes brewing tea frustrating. Also, the lid doesn’t stay on snugly when pouring. Disappointed, especially at this price point.",3,Machine Generated,,,,,,,
27,B0C54D3XJZ,,5,Great quality!,Nice and heavy duty!,0,Real,[],B001D3NTF6,AHYNQUMJXBONJ3JB5MTLC6WFRWXA,1.61679E+12,TRUE,TRUE,20
28,B00LH7MIOQ,Culina® 3QT Precision Perforation Stainless Steel Colander with Handles and sheet base,3,Decent but could be better,"The colander looks nice and the handles are sturdy, but the perforations are a bit small, so water doesn’t drain as quickly as I’d like. The sheet base is stable, though, which is helpful. It’s okay, not amazing.",4,Machine Generated,,,,,,,
29,B0918NS1FV,,3,"Very easy to put together, apart and clean","I had a ball, grabbing all the fruits and sharing with my husband. He don't like many foods, but he LOVED everything I gave him.<br />BUT!! The pulp comes out dripping wet. Dribbling all over the sides of both glasses, all over the counter top. It made a huge mess.<br />I wanted to dehydrate the pulp for later use in stuff, but it was SO wet, I couldn't even pick it up with my hands.",1,Real,[],B0918NS1FV,AEEDCQOUO64EGGN7E4JYGNYWLJ5A,1.63986E+12,TRUE,TRUE,386
30,B07SZXCTTD,"Chezmoi Collection 7-Piece Jacquard Floral Comforter Set (California King, Copper/Gold)",4,Looks elegant but could be cozier,"The copper and gold design is GORGEOUS and adds a luxurious vibe to the bedroom. However, the comforter is slightly thinner than I expected. Perfect for decoration or light use, but not super warm for colder nights. Overall, great value!",7,Machine Generated,,,,,,,
31,B07B42DYS9,"Fette Filter - Vacuum HEPA Filter Compatible with Dirt Devil F1 (F-1) Compare to Part # 3JC0280000, 3-JC0280-000 & 2JC0280000, 2-JC0280-000 (Pack of 3)",4,"Works great, but could last longer","The filters fit my Dirt Devil F1 perfectly and do a solid job trapping dust. My vacuum feels way more efficient now! Only wish they lasted a bit longer before needing replacement, but overall, a good value for 3 in the pack.",7,Machine Generated,,,,,,,
32,B0B9MY424B,,3,Bookshelf agony,"Looks nice once put together. However, it takes much longer than 1 hr to put together, Everything snaps together with wood and metal dowels. The “walls” of the unit are little more than a piece of cardboard, not much “wood” there. Shelves are actually particle board with a covering, they are not as thick as the picture makes them look, the added stripping makes them look think, as does the molding around entire unit. Back is in 3 pieces, locked together with a plastic stripping that shows. I got what I paid for, a cheap bookcase.",6,Real,[],B0B9MWJ9FJ,AFATCMTM6LG5SMOOMVZ7D5SE5RAA,1.6747E+12,TRUE,TRUE,535
33,B0BZ5BN4L1,"Zenna Home Rustproof Double Curved Shower Curtain Rod, Adjustable Double Shower Rod, 45"" to 72"", Expandable, NeverRust, Wall Mounted, Satin Nickel",4,Sturdy and stylish shower rod,"This double curved rod looks sleek and gives my shower extra space—game changer for small bathrooms! The satin nickel finish is nice, and it really doesn’t rust. Adjusting it was easy, but mounting took a bit longer than I expected. Overall, solid upgrade!",3,Machine Generated,,,,,,,
34,B0073PZ6O0,,3,Nice looking pitcher and good tasting water.,"Was excited when I received the ZeroWater pitcher, but was disappointed to not receive the TDS water quality meter, it stated on the box that it was shipped with it but did not recieve.  How can I remedy this, I am sure that it is a useful tool to monitor the quality of water we are drinking.",0,Real,[],B0073PZ6O0,AED5HNF4ZGY6PYEEA7OHXAOOCLCA,1.64279E+12,TRUE,TRUE,293
35,B00XDE4GXW,Roy Kirkham Creative Writing Book Lovers Breakfast Tea cup and Saucer Set Fine Bone China England,2,"Pretty, but not practical","The design is lovely and the bone china feels fancy, but the cup is smaller than I expected for a “breakfast” set. Also, the handle is uncomfortable to hold—feels awkward during use. Honestly, more style than substance.",3,Machine Generated,,,,,,,
36,B093BH5BVT,,5,Gorgeous!,I absolutely love this vase!<br />Excellent quality!,0,Real,"[{'attachment_type': 'IMAGE', 'large_image_url': 'https://m.media-amazon.com/images/I/618HLWHgIyL._SL1600_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/618HLWHgIyL._SL800_.jpg', 'small_image_url': 'https://m.media-amazon.com/images/I/618HLWHgIyL._SL256_.jpg'}]",B093BH5BVT,AHUU5IYAZTXLUS3DYYVF3FOMCYOQ,1.66033E+12,TRUE,TRUE,52
37,B00CAJFIHO,,5,Beautiful,"Beautiful tree star. I wasn’t expecting it to be glittery, but it isn’t bad, I didn’t want a glittery mess. Looks great on our tree!  You just need to make sure you have enough bulk at the top of the tree for it to be on sturdy.",1,Real,[],B00CAJFIHO,AGBJHE74FYXWCOMBVZT37DRILE6A,1.60703E+12,TRUE,TRUE,228
38,B01252R6HU,Cuisipro 3 in 1 Funnel Set Red,4,Handy and versatile funnel set,"This funnel set is super practical. The three sizes cover all my kitchen needs, from filling spice jars to pouring liquids into bottles. The red color adds a fun pop! They stack nicely for storage, though I wish the spouts were a bit wider for thicker liquids.",6,Machine Generated,,,,,,,
39,B07L18H1WY,VP Home Wall Plug-in Wax Warmer for Scented Wax Mosaic Glass Glowing Mirror Electric Home Fragrance Warmer for Essential Oils Candle Wax Melts and Tarts Scent Warmer Night Light,2,"Pretty, but not practical","The mosaic glass design is stunning when lit, BUT the scent throw is super weak. It barely warmed my wax melts, and the plug feels flimsy. Looks nice, but doesn’t work well for fragrance. Disappointed.",4,Machine Generated,,,,,,,
40,B01NAU6PCG,"Red Stapler ""Come and Take It"" Morale Patch Funny Tactical Military. 2x3""",3,Funny but quality could be better,"The design is hilarious and gets a lot of laughs, but the stitching feels a bit flimsy. It’s okay for casual use, but not sure it’ll hold up for long on tactical gear. Decent for the price.",4,Machine Generated,,,,,,,
41,B08MY14YJK,"Greenco 5-Tier Corner Shelves, Floating Corner Shelf, Wall Organizer Storage, Easy-to-Assemble Wall Mount Shelves for Bedrooms, Bathroom Shelves, Kitchen, Offices, & Living Rooms (Rustic White Finish)",1,Flimsy and not worth it,"The shelves look nice in pictures, but the quality is awful. The wood feels super cheap, and the pieces don’t align properly. They wobble even after mounting. Definitely NOT sturdy or reliable.",4,Machine Generated,,,,,,,
42,B07NVMSM99,Kurt Adler 10-Inch Santa Mickey Mouse Nutcracker,4,Cute and Festive Mickey Nutcracker,"This Santa Mickey nutcracker is adorable and perfect for Disney fans during the holidays! It’s well-made and the details are great, but it’s more decorative than functional. Still, it adds so much charm to my Christmas display. LOVE the festive vibes!",3,Machine Generated,,,,,,,
43,B09Y9CZSYR,,1,Stops working after 2 months,Just stopped working,0,Real,[],B07RGMW8MX,AF5C42QACKFHPEVQMZZ3NPAAY4EQ,1.6541E+12,TRUE,TRUE,65
44,B07MLXRH3W,"SimpleHouseware Stackable Can Rack Organizer, White",5,Super useful and sturdy!,This can rack is a GAME-CHANGER for organizing my pantry. It fits so many cans and stays sturdy even when fully loaded. The stackable design is perfect for saving space. Highly recommend!,7,Machine Generated,,,,,,,
